Code,Site,Year,Type,Dups,PCB,Flag,Concentration
MERY 3,MERY,1999,NA,NA,PCB_105,TRUE,1
MERY 3,MERY,1999,NA,NA,PCB_118,FALSE,3.2
MERY 3,MERY,1999,NA,NA,PCB_126,TRUE,1.5
MERY 3,MERY,1999,NA,NA,PCB_128,TRUE,1
MERY 3,MERY,1999,NA,NA,PCB_138,FALSE,5.5
MERY 3,MERY,1999,NA,NA,PCB_153_132,FALSE,6.5
MERY 3,MERY,1999,NA,NA,PCB_169,TRUE,1.5
MERY 3,MERY,1999,NA,NA,PCB_170_190,TRUE,1.5
MERY 3,MERY,1999,NA,NA,PCB_180,TRUE,1
MERY 3,MERY,1999,NA,NA,PCB_187,FALSE,2.6
MERY 3,MERY,1999,NA,NA,PCB_195_208,TRUE,1.5
MERY 3,MERY,1999,NA,NA,PCB_206,TRUE,1.5
MERY 3,MERY,1999,NA,NA,PCB_209,NA,NA
MERY 3,MERY,1999,NA,NA,Total,FALSE,20
MERY 4,MERY,1999,NA,NA,PCB_8_5,TRUE,2
MERY 4,MERY,1999,NA,NA,PCB_18_15,TRUE,2
MERY 4,MERY,1999,NA,NA,PCB_28,TRUE,2
MERY 4,MERY,1999,NA,NA,PCB_29,TRUE,1
MERY 4,MERY,1999,NA,NA,PCB_44,TRUE,2
MERY 4,MERY,1999,NA,NA,PCB_50,TRUE,2
MERY 4,MERY,1999,NA,NA,PCB_52,TRUE,2
MERY 4,MERY,1999,NA,NA,PCB_66_95,TRUE,2
MERY 4,MERY,1999,NA,NA,PCB_77,TRUE,2
MERY 4,MERY,1999,NA,NA,PCB_87,TRUE,1.5
MERY 4,MERY,1999,NA,NA,PCB_101_90,FALSE,2.6
MERY 4,MERY,1999,NA,NA,PCB_105,TRUE,1
MERY 4,MERY,1999,NA,NA,PCB_118,FALSE,3.2
MERY 4,MERY,1999,NA,NA,PCB_126,TRUE,1.5
MERY 4,MERY,1999,NA,NA,PCB_128,TRUE,1
MERY 4,MERY,1999,NA,NA,PCB_138,FALSE,5.5
MERY 4,MERY,1999,NA,NA,PCB_153_132,FALSE,6.5
MERY 4,MERY,1999,NA,NA,PCB_169,TRUE,1.5
MERY 4,MERY,1999,NA,NA,PCB_170_190,TRUE,1.5
MERY 4,MERY,1999,NA,NA,PCB_180,TRUE,1
MERY 4,MERY,1999,NA,NA,PCB_187,FALSE,2.5
MERY 4,MERY,1999,NA,NA,PCB_195_208,TRUE,1.5
MERY 4,MERY,1999,NA,NA,PCB_206,TRUE,1.5
MERY 4,MERY,1999,NA,NA,PCB_209,NA,NA
MERY 4,MERY,1999,NA,NA,Total,FALSE,20
MERY Duplicate,MERY,1999,NA,TRUE,PCB_8_5,TRUE,2
MERY Duplicate,MERY,1999,NA,TRUE,PCB_18_15,TRUE,2
MERY Duplicate,MERY,1999,NA,TRUE,PCB_28,TRUE,2
MERY Duplicate,MERY,1999,NA,TRUE,PCB_29,TRUE,1
MERY Duplicate,MERY,1999,NA,TRUE,PCB_44,TRUE,2
MERY Duplicate,MERY,1999,NA,TRUE,PCB_50,TRUE,2
MERY Duplicate,MERY,1999,NA,TRUE,PCB_52,TRUE,2
MERY Duplicate,MERY,1999,NA,TRUE,PCB_66_95,TRUE,2
MERY Duplicate,MERY,1999,NA,TRUE,PCB_77,TRUE,2
MERY Duplicate,MERY,1999,NA,TRUE,PCB_87,TRUE,1.5
MERY Duplicate,MERY,1999,NA,TRUE,PCB_101_90,FALSE,2.1
MERY Duplicate,MERY,1999,NA,TRUE,PCB_105,TRUE,1
MERY Duplicate,MERY,1999,NA,TRUE,PCB_118,FALSE,2.8
MERY Duplicate,MERY,1999,NA,TRUE,PCB_126,TRUE,1.5
MERY Duplicate,MERY,1999,NA,TRUE,PCB_128,TRUE,1
MERY Duplicate,MERY,1999,NA,TRUE,PCB_138,FALSE,4.8
MERY Duplicate,MERY,1999,NA,TRUE,PCB_153_132,FALSE,6.6
MERY Duplicate,MERY,1999,NA,TRUE,PCB_169,TRUE,1.5
MERY Duplicate,MERY,1999,NA,TRUE,PCB_170_190,TRUE,1.5
MERY Duplicate,MERY,1999,NA,TRUE,PCB_180,TRUE,1
MERY Duplicate,MERY,1999,NA,TRUE,PCB_187,FALSE,1.9
MERY Duplicate,MERY,1999,NA,TRUE,PCB_195_208,TRUE,1.5
MERY Duplicate,MERY,1999,NA,TRUE,PCB_206,TRUE,1.5
MERY Duplicate,MERY,1999,NA,TRUE,PCB_209,NA,NA
MERY Duplicate,MERY,1999,NA,TRUE,Total,FALSE,18
MEPR 1N,MEPR,2000,n,NA,PCB_8_5,TRUE,2
MEPR 1N,MEPR,2000,n,NA,PCB_18_15,TRUE,2
MEPR 1N,MEPR,2000,n,NA,PCB_28,TRUE,2
MEPR 1N,MEPR,2000,n,NA,PCB_29,TRUE,1
MEPR 1N,MEPR,2000,n,NA,PCB_44,TRUE,2
MEPR 1N,MEPR,2000,n,NA,PCB_50,TRUE,2
MEPR 1N,MEPR,2000,n,NA,PCB_52,TRUE,2
MEPR 1N,MEPR,2000,n,NA,PCB_66_95,TRUE,2
MEPR 1N,MEPR,2000,n,NA,PCB_77,TRUE,2
MEPR 1N,MEPR,2000,n,NA,PCB_87,TRUE,1.5
MEPR 1N,MEPR,2000,n,NA,PCB_101_90,FALSE,4.8
