Code,Site,Year,Type,Surrogate,Pesticide,Flag,Concentration
MEBC3P,MEBC,1995,NA,81,Aldrin,TRUE,2
MEBC3P,MEBC,1995,NA,81,Heptachlor Epoxide,TRUE,2
MEBC3P,MEBC,1995,NA,81,op_DDE,TRUE,2
MEBC3P,MEBC,1995,NA,81,a_Endosulfan,TRUE,2
MEBC3P,MEBC,1995,NA,81,cis_Chlordane,TRUE,2
MEBC3P,MEBC,1995,NA,81,Transnonachlor,TRUE,2
MEBC3P,MEBC,1995,NA,81,pp_DDE,FALSE,3.9
MEBC3P,MEBC,1995,NA,81,Dieldrin,TRUE,2
MEBC3P,MEBC,1995,NA,81,op_DDD,FALSE,3
MEBC3P,MEBC,1995,NA,81,b_Endosulfan,TRUE,2
MEBC3P,MEBC,1995,NA,81,pp_DDD,TRUE,2
MEBC3P,MEBC,1995,NA,81,op_DDT,TRUE,2
MEBC3P,MEBC,1995,NA,81,pp_DDT,TRUE,2
MEBC3P,MEBC,1995,NA,81,Mirex,TRUE,2
MEBC3P,MEBC,1995,NA,81,Total,FALSE,6.9
MEBC4P,MEBC,1995,NA,96,HCB,TRUE,2
MEBC4P,MEBC,1995,NA,96,g_HCH,TRUE,2
MEBC4P,MEBC,1995,NA,96,Heptachlor,TRUE,2
MEBC4P,MEBC,1995,NA,96,Aldrin,TRUE,2
MEBC4P,MEBC,1995,NA,96,Heptachlor Epoxide,TRUE,2
MEBC4P,MEBC,1995,NA,96,op_DDE,TRUE,2
MEBC4P,MEBC,1995,NA,96,a_Endosulfan,TRUE,2
MEBC4P,MEBC,1995,NA,96,cis_Chlordane,TRUE,2
MEBC4P,MEBC,1995,NA,96,Transnonachlor,TRUE,2
MEBC4P,MEBC,1995,NA,96,pp_DDE,FALSE,3.8
MEBC4P,MEBC,1995,NA,96,Dieldrin,TRUE,2
MEBC4P,MEBC,1995,NA,96,op_DDD,FALSE,3.2
MEBC4P,MEBC,1995,NA,96,b_Endosulfan,TRUE,2
MEBC4P,MEBC,1995,NA,96,pp_DDD,TRUE,2
MEBC4P,MEBC,1995,NA,96,op_DDT,TRUE,2
MEBC4P,MEBC,1995,NA,96,pp_DDT,TRUE,2
MEBC4P,MEBC,1995,NA,96,Mirex,TRUE,2
MEBC4P,MEBC,1995,NA,96,Total,FALSE,7
MEBC4P Duplicate,MEBC,1995,NA,76,HCB,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,g_HCH,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,Heptachlor,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,Aldrin,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,Heptachlor Epoxide,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,op_DDE,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,a_Endosulfan,TRUE,2
